ID Name RIV LON(OBS) LAT(OBS) AREA(OBS) LON(H08) LAT(H08) AREA(H08) MLIT_ID
01 Senoshita Chikugo 130.4833 33.3167 2295.00E+06 130.475006 33.3250008 2.23343718E+09 309061289901190
02 Takaoka Oyodo 131.3000 31.9500 1564.00E+06 131.308334 31.9583340 1.51997222E+09 309141289916060
03 Yokoishi Kuma 130.6500 32.4500 1856.00E+06 130.641663 32.4583321 2892815.00 309111289909070
04 Miwa Gokase 131.6167 32.5500 1044.00E+06 131.625000 32.5416679 2889312.50 309161289917020
05 Shiratakibashi Oono 131.6333 33.1500 1381.00E+06 131.625000 33.1583328 5741502.00 309181289913030
06 Jonan Midori 130.7333 32.7333 681.00E+06 130.725006 32.7249985 51961152.0 309101289908030
07 Hinodebashi Onga 130.7167 33.7333 695.00E+06 130.725006 33.7249985 2854100.25 309011289902050
08 Tamana Kikuchi 130.5667 32.9333 906.00E+06 130.574997 32.9249992 2877405.00 309081289911080
09 Sendai Sendai 130.3000 31.8167 1425.00E+06 130.308334 31.8250008 1.51845005E+09 309121289918160
10 Kuranobashi Sendai 130.3833 31.8500 1153.00E+06 130.375000 31.8583336 1.20672858E+09 309121289918130
